Date,Ae_aegypti
2010-01,12
2010-02,12
2010-03,23
2010-04,20
2010-05,32
2010-06,9
2010-07,6
2010-08,16
2010-09,15
2010-10,14
2010-11,11
2010-12,19
2010-13,11
2010-14,51
2010-15,15
2010-16,24
2010-17,32
2010-18,30
2010-19,50
2010-20,39
2010-21,80
2010-22,122
2010-23,82
2010-24,88
2010-25,117
2010-26,86
2010-27,99
2010-28,167
2010-29,145
2010-30,111
2010-31,217
2010-32,229
2010-33,227
2010-34,174
2010-35,123
2010-36,165
2010-37,122
2010-38,163
2010-39,112
2010-40,48
2010-41,17
2010-42,17
2010-43,46
2010-44,29
2010-45,36
2010-46,28
2010-47,5
2010-48,15
2010-49,6
2010-50,11
2010-51,2
2010-52,0
2011-01,8
2011-02,6
2011-03,9
2011-04,5
2011-05,18
2011-06,17
2011-07,3
2011-08,3
2011-09,11
2011-10,5
2011-11,11
2011-12,7
2011-13,27
2011-14,13
2011-15,29
2011-16,26
2011-17,16
2011-18,16
2011-19,71
2011-20,36
2011-21,33
2011-22,30
2011-23,37
2011-24,65
2011-25,85
2011-26,59
2011-27,41
2011-28,63
2011-29,29
2011-30,53
2011-31,46
2011-32,31
2011-33,52
2011-34,103
2011-35,45
2011-36,24
2011-37,76
2011-38,100
2011-39,39
2011-40,89
2011-41,58
2011-42,8
2011-43,17
2011-44,12
2011-45,23
2011-46,0
2011-47,5
2011-48,16
2011-49,26
2011-50,6
2011-51,15
2011-52,0
2012-01,6
2012-02,9
2012-03,2
2012-04,7
2012-05,5
2012-06,11
2012-07,17
2012-08,12
2012-09,8
2012-10,6
2012-11,13
2012-12,15
2012-13,6
2012-14,3
2012-15,13
2012-16,21
2012-17,8
2012-18,9
2012-19,95
2012-20,78
2012-21,40
2012-22,19
2012-23,50
2012-24,53
2012-25,31
2012-26,32
2012-27,44
2012-28,82
2012-29,158
2012-30,48
2012-31,84
2012-32,102
2012-33,112
2012-34,54
2012-35,27
2012-36,29
2012-37,58
2012-38,51
2012-39,68
2012-40,82
2012-41,30
2012-42,54
2012-43,55
2012-44,34
2012-45,25
2012-46,2
2012-47,11
2012-48,7
2012-49,3
2012-50,4
2012-51,31
2012-52,0
2013-01,4
2013-02,12
2013-03,3
2013-04,8
2013-05,12
2013-06,4
2013-07,3
2013-08,6
2013-09,12
2013-10,3
2013-11,10
2013-12,8
2013-13,10
2013-14,15
2013-15,10
2013-16,22
2013-17,17
2013-18,4
2013-19,45
2013-20,73
2013-21,47
2013-22,29
2013-23,125
2013-24,109
2013-25,105
2013-26,94
2013-27,51
2013-28,83
2013-29,81
2013-30,121
2013-31,40
2013-32,25
2013-33,19
2013-34,14
2013-35,24
2013-36,14
2013-37,20
2013-38,33
2013-39,28
2013-40,43
2013-41,40
2013-42,28
2013-43,21
2013-44,26
2013-45,13
2013-46,9
2013-47,7
2013-48,6
2013-49,3
2013-50,7
2013-51,3
2013-52,0
2014-01,6
2014-02,22
2014-03,19
2014-04,17
2014-05,17
2014-06,17
2014-07,8
2014-08,11
2014-09,12
2014-10,20
2014-11,19
2014-12,18
2014-13,15
2014-14,27
2014-15,22
2014-16,28
2014-17,19
2014-18,3
2014-19,40
2014-20,20
2014-21,58
2014-22,57
2014-23,126
2014-24,95
2014-25,78
2014-26,35
2014-27,32
2014-28,22
2014-29,42
2014-30,70
2014-31,27
2014-32,42
2014-33,41
2014-34,18
2014-35,48
2014-36,4
2014-37,39
2014-38,49
2014-39,21
2014-40,22
2014-41,37
2014-42,11
2014-43,16
2014-44,15
2014-45,17
2014-46,8
2014-47,2
2014-48,12
2014-49,12
2014-50,8
2014-51,13
2014-52,5
2015-01,17
2015-02,8
2015-03,5
2015-04,10
2015-05,5
2015-06,2
2015-07,2
2015-08,11
2015-09,7
2015-10,7
2015-11,6
2015-12,15
2015-13,0
2015-14,10
2015-15,12
2015-16,13
2015-17,2
2015-18,0
2015-19,46
2015-20,20
2015-21,112
2015-22,105
2015-23,70
2015-24,97
2015-25,75
2015-26,67
2015-27,31
2015-28,45
2015-29,48
2015-30,39
2015-31,11
2015-32,54
2015-33,29
2015-34,35
2015-35,118
2015-36,41
2015-37,18
2015-38,48
2015-39,50
2015-40,114
2015-41,23
2015-42,7
2015-43,22
2015-44,20
2015-45,8
2015-46,18
2015-47,32
2015-48,12
2015-49,9
2015-50,16
2015-51,16
2015-52,41
2016-01,14
2016-02,10
2016-03,9
2016-04,18
2016-05,13
2016-06,15
2016-07,13
2016-08,15
2016-09,15
2016-10,8
2016-11,7
2016-12,18
2016-13,19
2016-14,27
2016-15,30
2016-16,24
2016-17,28
2016-18,80
2016-19,53
2016-20,31
2016-21,42
2016-22,53
2016-23,49
2016-24,187
2016-25,125
2016-26,80
2016-27,56
2016-28,119
2016-29,43
2016-30,105
2016-31,65
2016-32,45
2016-33,36
2016-34,23
2016-35,16
2016-36,28
2016-37,46
2016-38,35
2016-39,31
2016-40,45
2016-41,26
2016-42,15
2016-43,0
2016-44,12
2016-45,16
2016-46,15
2016-47,7
2016-48,8
2016-49,4
2016-50,31
2016-51,11
2016-52,14
2017-01,21
2017-02,41
2017-03,13
2017-04,30
2017-05,9
2017-06,19
2017-07,0
2017-08,4
2017-09,11
2017-10,24
2017-11,0
2017-12,18
2017-13,0
2017-14,6
2017-15,25
2017-16,16
2017-17,28
2017-18,57
2017-19,44
2017-20,70
2017-21,99
2017-22,91
2017-23,48
2017-24,78
2017-25,188
2017-26,195
2017-27,50
2017-28,43
2017-29,78
2017-30,50
2017-31,41
2017-32,61
2017-33,43
2017-34,1
2017-35,24
2017-36,0
2017-37,0
2017-38,0
2017-39,23
2017-40,10
2017-41,15
2017-42,15
2017-43,6
2017-44,8
2017-45,3
2017-46,0
2017-47,2
2017-48,4
2017-49,9
2017-50,1
2017-51,7
2017-52,0
2018-01,0
2018-02,4
2018-03,1
2018-04,1
2018-05,8
2018-06,8
2018-07,3
2018-08,3
2018-09,0
2018-10,6
2018-11,1
2018-12,10
2018-13,11
2018-14,7
2018-15,7
2018-16,2
2018-17,27
2018-18,8
2018-19,3
2018-20,27
2018-21,36
2018-22,31
2018-23,76
2018-24,26
2018-25,105
2018-26,56
2018-27,55
2018-28,100
2018-29,77
2018-30,55
2018-31,119
2018-32,52
2018-33,26
2018-34,30
2018-35,34
2018-36,58
2018-37,36
2018-38,28
2018-39,45
2018-40,50
2018-41,18
2018-42,37
2018-43,0
2018-44,13
2018-45,9
2018-46,5
2018-47,11
2018-48,18
2018-49,16
2018-50,9
2018-51,3
2018-52,5
2019-01,0
2019-02,14
2019-03,4
2019-04,8
2019-05,1
2019-06,8
2019-07,17
2019-08,19
2019-09,33
2019-10,48
2019-11,32
2019-12,17
2019-13,24
2019-14,77
2019-15,40
2019-16,38
2019-17,59
2019-18,106
2019-19,67
2019-20,184
2019-21,86
2019-22,32
2019-23,72
2019-24,80
2019-25,37
2019-26,18
2019-27,22
2019-28,41
2019-29,73
2019-30,48
2019-31,38
2019-32,39
2019-33,31
2019-34,13
2019-35,81
2019-36,84
2019-37,105
2019-38,55
2019-39,50
2019-40,20
2019-41,30
2019-42,24
2019-43,9
2019-44,10
2019-45,22
2019-46,10
2019-47,14
2019-48,13
2019-49,8
2019-50,10
2019-51,15
2019-52,0
2020-01,0
2020-02,14
2020-03,22
2020-04,1
2020-05,17
2020-06,0
2020-07,32
2020-08,43
2020-09,30
2020-10,33
2020-11,40
2020-12,17
2020-13,0
2020-14,0
2020-15,0
2020-16,0
2020-17,0
2020-18,0
2020-19,0
2020-20,0
2020-21,16
2020-22,10
2020-23,88
2020-24,115
2020-25,145
2020-26,129
2020-27,140
2020-28,100
2020-29,67
2020-30,4
2020-31,56
2020-32,72
2020-33,28
2020-34,37
2020-35,34
2020-36,88
2020-37,42
2020-38,59
2020-39,33
2020-40,15
2020-41,12
2020-42,31
2020-43,4
2020-44,17
2020-45,12
2020-46,12
2020-47,22
2020-48,15
2020-49,13
2020-50,4
2020-51,30
2020-52,40
