Date,Ae_aegypti
2011-30,7
2011-32,1
2012-21,1
2012-40,13
2012-41,755
2012-42,195
2012-43,108
2012-44,122
2012-45,61
2012-46,16
2012-47,14
2012-48,58
2012-49,49
2012-50,7
2013-01,1
2013-04,4
2013-05,1
2013-10,3
2013-11,3
2013-12,7
2013-13,4
2013-14,7
2013-15,11
2013-16,6
2013-17,30
2013-18,24
2013-19,40
2013-20,54
2013-21,49
2013-22,46
2013-23,91
2013-24,104
2013-25,76
2013-26,111
2013-27,33
2013-28,101
2013-29,62
2013-30,134
2013-31,190
2013-32,244
2013-33,188
2013-34,153
2013-35,196
2013-36,213
2013-37,606
2013-38,1380
2013-39,613
2013-40,364
2013-41,119
2013-42,110
2013-43,110
2013-44,100
2013-45,71
2013-46,54
2013-47,127
2013-48,11
2013-49,10
2013-50,7
2013-51,3
2014-02,5
2014-06,3
2014-07,3
2014-08,1
2014-09,9
2014-10,1
2014-11,7
2014-12,12
2014-13,39
2014-14,10
2014-15,12
2014-16,31
2014-17,15
2014-18,13
2014-19,35
2014-20,19
2014-21,30
2014-22,10
2014-23,40
2014-24,115
2014-25,168
2014-26,64
2014-27,71
2014-28,103
2014-29,112
2014-30,228
2014-31,113
2014-32,239
2014-33,200
2014-34,647
2014-35,1190
2014-36,631
2014-37,662
2014-38,3370
2014-39,4620
2014-40,3383
2014-41,3679
2014-42,4328
2014-43,3106
2014-44,1375
2014-45,1121
2014-46,506
2014-47,354
2014-48,44
2014-49,57
2014-50,116
2014-51,12
2015-02,10
2015-03,10
2015-04,2
2015-05,6
2015-06,22
2015-07,13
2015-08,32
2015-09,43
2015-10,38
2015-11,49
2015-12,80
2015-13,95
2015-14,92
2015-15,151
2015-16,152
2015-17,221
2015-18,109
2015-19,311
2015-20,538
2015-21,346
2015-22,528
2015-23,693
2015-24,847
2015-25,1699
2015-26,690
2015-27,352
2015-28,856
2015-29,382
2015-30,951
2015-31,1003
2015-32,413
2015-33,566
2015-34,708
2015-35,250
2015-36,482
2015-37,874
2015-38,811
2015-39,1411
2015-40,1559
2015-41,1103
2015-42,1336
2015-43,1732
2015-44,1548
2015-45,857
2015-46,755
2015-47,268
2015-48,221
2015-49,72
2015-50,196
2015-51,7
2016-01,1
2016-02,4
2016-03,1
2016-04,2
2016-06,2
2016-07,6
2016-08,8
2016-09,17
2016-10,30
2016-11,27
2016-12,29
2016-13,14
2016-14,28
2016-15,92
2016-16,129
2016-17,203
2016-18,146
2016-19,122
2016-20,730
2016-21,335
2016-22,460
2016-23,415
2016-24,417
2016-25,696
2016-26,307
2016-27,726
2016-28,474
2016-29,483
2016-30,578
2016-31,480
2016-32,788
2016-33,984
2016-34,1406
2016-35,2331
2016-36,2209
2016-37,1635
2016-38,1830
2016-39,1297
2016-40,1953
2016-41,2322
2016-42,1874
2016-43,1366
2016-44,941
2016-45,873
2016-46,4604
2016-47,1247
2016-48,354
2016-49,327
2016-50,502
2016-51,198
2017-02,59
2017-03,22
2017-04,6
2017-05,32
2017-06,24
2017-07,26
2017-08,35
2017-09,19
2017-10,11
2017-11,41
2017-12,76
2017-13,53
2017-14,99
2017-15,93
2017-16,203
2017-17,160
2017-18,228
2017-19,514
2017-20,289
2017-21,631
2017-22,437
2017-23,521
2017-24,415
2017-25,394
2017-26,379
2017-27,260
2017-28,330
2017-29,1002
2017-30,1200
2017-31,1690
2017-32,2224
2017-33,2779
2017-34,3141
2017-35,2257
2017-36,1904
2017-37,1479
2017-38,1160
2017-39,843
2017-40,734
2017-41,589
2017-42,673
2017-43,650
2017-44,530
2017-45,526
2017-46,361
2017-47,368
2017-48,250
2017-49,109
2017-50,117
2017-51,125
2018-02,169
2018-03,59
2018-04,35
2018-05,164
2018-06,73
2018-07,16
2018-08,6
2018-09,8
2018-10,18
2018-11,25
2018-12,16
2018-13,17
2018-14,22
2018-15,35
2018-16,33
2018-17,57
2018-18,124
2018-19,195
2018-20,204
2018-21,243
2018-22,261
2018-23,336
2018-24,481
2018-25,731
2018-26,883
2018-27,400
2018-28,418
2018-29,1972
2018-30,708
2018-31,742
2018-32,956
2018-33,879
2018-34,1235
2018-35,1978
2018-36,2429
2018-37,1363
2018-38,1236
2018-39,1776
2018-40,1682
2018-41,1789
2018-42,3386
2018-43,4206
2018-44,3352
2018-45,2449
2018-46,938
2018-47,1025
2018-48,640
2018-49,282
2018-50,205
2018-51,241
2019-02,37
2019-03,15
2019-04,3
2019-05,31
2019-06,6
2019-07,11
2019-09,7
2019-10,2
2019-11,1
2019-12,35
2019-13,77
2019-14,126
2019-15,125
2019-16,177
2019-17,298
2019-18,441
2019-19,599
2019-20,1275
2019-21,796
2019-22,1089
2019-23,1456
2019-24,955
2019-25,1243
2019-26,1158
2019-27,815
2019-28,974
2019-29,550
2019-30,734
2019-31,1031
2019-32,1469
2019-33,1189
2019-34,635
2019-35,672
2019-36,1273
2019-37,981
2019-38,920
2019-39,1018
2019-40,1817
2019-41,3278
2019-42,1707
2019-43,947
2019-44,386
2019-45,614
2019-46,431
2019-47,186
2019-48,66
2019-49,203
2019-50,384
2019-51,47
2020-02,13
2020-03,7
2020-04,4
2020-05,11
2020-08,3
2020-09,1
2020-10,12
2020-11,16
2020-12,24
2020-13,34
2020-14,38
2020-15,50
2020-16,76
2020-17,78
2020-18,152
2020-19,246
2020-20,308
2020-21,421
2020-22,604
2020-23,1623
2020-24,766
2020-25,543
2020-26,688
2020-27,716
2020-28,658
2020-29,694
2020-30,702
2020-31,431
2020-32,467
2020-33,387
2020-34,177
2020-35,418
2020-36,452
2020-37,285
2020-38,529
2020-39,383
2020-40,400
2020-41,918
2020-42,501
2020-43,306
2020-44,176
2020-45,278
2020-46,115
2020-47,233
2020-48,97
2020-49,89
2020-50,69
2020-51,2
2021-01,38
2021-02,53
2021-03,28
2021-05,9
2021-06,2
2021-07,3
2021-08,20
2021-09,16
2021-10,5
2021-11,20
2021-13,3
2021-14,25
2021-15,33
2021-16,35
2021-17,36
2021-18,171
2021-19,155
2021-20,201
2021-21,151
2021-22,366
2021-23,237
2021-24,543
2021-25,396
2021-26,459
2021-27,538
2021-28,740
2021-29,900
2021-30,1600
2021-31,3119
2021-32,3330
2021-33,4108
2021-34,13252
2021-35,9441
2021-36,10703
2021-37,7316
2021-38,5350
2021-39,7338
2021-40,5205
2021-41,2663
2021-42,3685
2021-43,2163
2021-44,1732
2021-45,1368
2021-46,1248
2021-47,1515
2021-48,1239
2021-49,630
2021-50,270
2022-01,74
2022-02,89
2022-03,76
2022-04,100
