Date,id,Ae_aegypti,Cx_quinque
2019-00,1,77,849
2019-01,2,402,5125
2019-02,3,258,9301
2019-03,4,171,3672
2019-04,5,65,2567
2019-05,6,291,3375
2019-06,7,271,1489
2019-07,8,420,2173
2019-08,9,408,2691
2019-09,10,391,3606
2019-10,11,474,3850
2019-11,12,390,2991
2019-12,13,405,3122
2019-13,14,510,2630
2019-14,15,764,2766
2019-15,16,841,3059
2019-16,17,707,3135
2019-17,18,695,2974
2019-18,19,469,1181
2019-19,20,922,1652
2019-20,21,1194,2918
2019-21,22,1167,3511
2019-22,23,898,2269
2019-23,24,802,726
2019-24,25,1734,454
2019-25,26,2469,894
2019-26,27,1407,744
2019-27,28,1034,214
2019-28,29,1933,626
2019-29,30,1390,501
2019-30,31,1316,398
2019-31,32,1255,234
2019-32,33,1179,236
2019-33,34,1173,701
2019-34,35,445,192
2019-35,36,1153,623
2019-36,37,705,598
2019-37,38,341,634
2019-38,39,420,463
2019-39,40,389,582
2019-40,41,119,122
2019-41,42,523,511
2019-42,43,450,612
2019-43,44,463,963
2019-44,45,505,736
2019-45,46,382,1311
2019-46,47,473,2449
2019-47,48,70,639
2019-48,49,353,3745
2019-49,50,221,2201
2019-50,51,135,1259
2019-51,52,255,1120
2019-52,53,235,699
2020-00,54,192,830
2020-01,55,543,3760
2020-02,56,509,2737
2020-03,57,94,965
2020-04,58,210,3889
2020-05,59,227,2743
2020-06,60,398,1422
2020-07,61,427,1310
2020-08,62,452,2602
2020-09,63,501,3886
2020-10,64,322,2616
2020-11,65,380,4206
2020-12,66,383,4108
2020-13,67,335,8812
2020-14,68,214,5073
2020-15,69,416,4401
2020-16,70,850,3466
2020-17,71,615,4148
2020-18,72,623,5195
2020-19,73,633,3789
2020-20,74,578,984
2020-21,75,1162,1207
2020-22,76,1259,1883
2020-23,77,2155,4045
2020-24,78,974,2267
2020-25,79,2095,1457
2020-26,80,1761,1247
2020-27,81,934,705
2020-28,82,1117,834
2020-29,83,1184,460
2020-30,84,1860,772
2020-31,85,583,2872
2020-32,86,1169,516
2020-33,87,493,249
2020-34,88,954,481
2020-35,89,857,272
2020-36,90,578,274
2020-37,91,866,259
2020-38,92,613,406
2020-39,93,417,427
2020-40,94,809,664
2020-41,95,612,907
2020-42,96,474,1279
2020-43,97,922,803
2020-44,98,538,1265
2020-45,99,83,96
2020-46,100,674,1389
2020-47,101,444,860
2020-48,102,373,4922
2020-49,103,218,2259
2020-50,104,318,1620
2020-51,105,348,3224
2020-52,106,340,2736
2021-01,107,264,6564
2021-02,108,260,4503
2021-03,109,267,8935
2021-04,110,197,8195
2021-05,111,241,7675
2021-06,112,306,6197
2021-07,113,447,2326
2021-08,114,818,4764
2021-09,115,1021,5691
2021-10,116,742,6367
2021-11,117,923,7203
2021-12,118,1158,10147
2021-13,119,988,7981
2021-14,120,602,10065
2021-15,121,650,4223
2021-16,122,1023,4098
2021-17,123,1213,6423
2021-18,124,1460,7184
2021-19,125,998,4329
2021-20,126,2249,4308
2021-21,127,2723,7975
2021-22,128,1301,4431
2021-23,129,1800,3521
2021-24,130,803,1334
2021-25,131,3225,1813
2021-26,132,1672,1104
2021-27,133,3463,1948
2021-28,134,2658,1309
2021-29,135,4729,3426
2021-30,136,2879,1387
2021-31,137,1800,1018
2021-32,138,1873,631
2021-33,139,1762,731
2021-34,140,1591,719
2021-35,141,1168,981
2021-36,142,1107,675
2021-37,143,1048,423
2021-38,144,1032,965
2021-39,145,1601,1330
2021-40,146,1290,1158
2021-41,147,905,1381
2021-42,148,1046,1874
2021-43,149,793,1181
2021-44,150,1079,1466
2021-45,151,986,2774
2021-46,152,652,3315
2021-47,153,282,1153
2021-48,154,461,4519
2021-49,155,870,3883
2021-50,156,531,4920
2021-51,157,537,4701
2021-52,158,491,7999
2022-01,159,600,
2022-02,160,710,
2022-03,161,693,
2022-04,162,328,
2022-05,163,565,
2022-06,164,716,
2022-07,165,392,
2022-08,166,245,
2022-09,167,594,
2022-10,168,873,
2022-11,169,694,
2022-12,170,340,
2022-13,171,879,
2022-14,172,1140,
2022-15,173,1072,
2022-16,174,878,
2022-17,175,798,
2022-18,176,1242,
2022-19,177,1028,
2022-20,178,1027,
2022-21,179,1245,
2022-22,180,1676,
2022-23,181,2058,
2022-24,182,1911,
2022-25,183,3803,
2022-26,184,2614,
2022-27,185,2507,
2022-28,186,2047,
2022-29,187,1963,
2022-30,188,1880,
2022-31,189,1485,
2022-32,190,1706,
2022-33,191,1612,
2022-34,192,1166,
2022-35,193,885,
2022-36,194,818,
2022-37,195,490,
2022-38,196,524,
2022-39,197,1500,
2022-40,198,123,
2022-41,199,2220,
2022-42,200,1217,
2022-43,201,1615,
2022-44,202,1531,
2022-45,203,1340,
2022-46,204,372,
2022-47,205,770,
2022-48,206,392,
2022-49,207,831,
2022-50,208,799,
2022-51,209,644,
2022-52,210,619,
2022-53,211,224,
